level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms
tutorial,0,0,6,6,14705,13736,1.0,0.0,13779,1.0031,0.937,35932.8
tutorial,0,1,6,6,14512,13736,1.0,0.4489,4167,0.3034,0.2871,2670.2
tutorial,0,2,6,6,14065,13736,1.0,0.4576,1820,0.1325,0.1294,4873.0
tutorial,0,3,6,6,13963,13736,1.0,0.486,1814,0.1321,0.1299,2832.0
tutorial,0,4,6,6,14409,13736,1.0,0.4805,2236,0.1628,0.1552,3357.6
tutorial,0,5,6,6,13823,13736,1.0,0.5319,3347,0.2437,0.2421,2073.7
tutorial,1,0,6,6,14212,13736,1.0,0.0953,3478,0.2532,0.2447,3285.2
tutorial,1,1,6,6,14502,13736,1.0,0.496,1385,0.1008,0.0955,2369.4
tutorial,1,2,6,6,13979,13736,1.0,0.7219,1967,0.1432,0.1407,3262.3
tutorial,1,3,6,6,14116,13736,1.0,0.722,1339,0.0975,0.0949,3370.5
tutorial,1,4,6,6,14592,13736,1.0,0.7385,2775,0.202,0.1902,2263.6
tutorial,1,5,6,6,14481,13736,1.0,0.521,1286,0.0936,0.0888,2778.6
tutorial,2,0,6,6,14014,13736,1.0,0.1376,1265,0.0921,0.0903,2673.4
tutorial,2,1,6,6,14114,13736,1.0,0.5419,1023,0.0745,0.0725,5054.8
tutorial,2,4,6,6,13937,13736,1.0,0.78,812,0.0591,0.0583,2023.8
tutorial,2,5,6,6,13969,13736,1.0,0.5594,654,0.0476,0.0468,1907.3
tutorial,3,0,6,6,13961,13736,1.0,0.1778,994,0.0724,0.0712,2500.5
tutorial,3,1,6,6,14136,13736,1.0,0.5475,777,0.0566,0.055,2375.2
tutorial,3,4,6,6,14013,13736,1.0,0.7819,1192,0.0868,0.0851,2219.3
tutorial,3,5,6,6,14000,13736,1.0,0.551,697,0.0507,0.0498,1814.5
tutorial,4,0,6,6,14225,13736,1.0,0.2064,1682,0.1225,0.1182,2195.8
tutorial,4,1,6,6,14901,13736,1.0,0.5482,2527,0.184,0.1696,1733.5
tutorial,4,2,6,6,13916,13736,1.0,0.7578,1359,0.0989,0.0977,1895.1
tutorial,4,3,6,6,13885,13736,1.0,0.7723,997,0.0726,0.0718,2267.8
tutorial,4,4,6,6,14781,13736,1.0,0.7472,2294,0.167,0.1552,1619.9
tutorial,4,5,6,6,14398,13736,1.0,0.5237,1003,0.073,0.0697,1878.1
tutorial,5,0,6,6,13889,13736,1.0,0.2412,5301,0.3859,0.3817,2607.1
tutorial,5,1,6,6,14703,13736,1.0,0.2624,2998,0.2183,0.2039,2651.9
tutorial,5,2,6,6,14073,13736,1.0,0.4801,1332,0.097,0.0946,1798.8
tutorial,5,3,6,6,14028,13736,1.0,0.4945,743,0.0541,0.053,1976.2
tutorial,5,4,6,6,14438,13736,1.0,0.4974,1240,0.0903,0.0859,2124.2
tutorial,5,5,6,6,13872,13736,1.0,0.5166,3330,0.2424,0.2401,1799.7
round1,0,0,6,6,13015,12605,1.0,0.0,12345,0.9794,0.9485,56392.9
round1,0,1,6,6,12653,12605,1.0,0.5344,2534,0.201,0.2003,2821.5
round1,1,0,6,6,12968,12605,1.0,0.1234,2825,0.2241,0.2178,5406.3
round1,1,1,6,6,14905,12605,1.0,0.53,1914,0.1518,0.1284,3147.7
round1,1,3,6,6,12686,12605,1.0,0.6108,4224,0.3351,0.333,3408.2
round1,1,4,6,6,13604,12605,1.0,0.573,3010,0.2388,0.2213,3240.9
round1,1,5,6,6,12725,12605,1.0,0.5645,3491,0.277,0.2743,2919.0
round1,2,0,6,6,14064,12605,1.0,0.16,2501,0.1984,0.1778,4381.0
round1,2,1,6,6,15526,12605,1.0,0.6491,3330,0.2642,0.2145,2427.2
round1,2,2,6,6,22468,12605,1.0,0.6207,5578,0.4425,0.2483,2440.8
round1,2,3,6,6,15343,12605,1.0,0.6107,4679,0.3712,0.305,2738.9
round1,2,4,6,6,15036,12605,1.0,0.5961,2974,0.2359,0.1978,2041.9
round1,2,5,6,6,13167,12605,1.0,0.5442,1677,0.133,0.1274,2367.5
round1,3,0,6,6,12969,12605,1.0,0.3214,987,0.0783,0.0761,2182.1
round1,3,2,6,6,12957,12605,1.0,0.8029,2518,0.1998,0.1943,1780.4
round1,3,4,6,6,12881,12605,1.0,0.6069,3502,0.2778,0.2719,2456.3
round1,3,5,6,6,13179,12605,1.0,0.5167,2532,0.2009,0.1921,2737.6
round1,4,0,6,6,13093,12605,1.0,0.3426,4304,0.3415,0.3287,2496.7
round1,4,1,6,6,13061,12605,1.0,0.3644,5029,0.399,0.385,3526.7
round1,4,2,6,6,17635,12605,1.0,0.3655,4086,0.3242,0.2317,3309.2
round1,4,3,6,6,14329,12605,1.0,0.4608,3648,0.2894,0.2546,2473.3
round1,4,4,6,6,14660,12605,1.0,0.4781,4173,0.3311,0.2847,3157.6
round1,4,5,6,6,12759,12605,1.0,0.5014,4189,0.3323,0.3283,3203.1
round1,5,2,6,6,12790,12605,1.0,0.4428,3801,0.3015,0.2972,2242.9
round1,5,3,6,6,12752,12605,1.0,0.4773,3594,0.2851,0.2818,1876.9
round2,0,0,8,8,11773,11766,1.0,0.0,10973,0.9326,0.932,15733.8
round2,0,3,8,8,13116,11766,1.0,0.5277,4431,0.3766,0.3378,2907.7
round2,0,4,8,8,13186,11766,1.0,0.5533,1924,0.1635,0.1459,2767.0
round2,0,5,8,8,13056,11766,1.0,0.5951,2700,0.2295,0.2068,3346.2
round2,0,6,8,8,13486,11766,1.0,0.6139,2789,0.237,0.2068,2943.9
round2,0,7,8,8,11905,11766,1.0,0.6461,2696,0.2291,0.2265,2220.5
round2,1,0,8,8,11782,11766,1.0,0.0186,653,0.0555,0.0554,2444.3
round2,1,3,8,8,19725,11766,1.0,0.4939,4059,0.345,0.2058,2916.0
round2,1,4,8,8,14090,11766,1.0,0.6388,2576,0.2189,0.1828,2378.4
round2,1,5,8,8,14456,11766,1.0,0.6483,1213,0.1031,0.0839,2113.6
round2,1,6,8,8,14950,11766,1.0,0.692,2580,0.2193,0.1726,7617.4
round2,1,7,8,8,12805,11766,1.0,0.6578,1387,0.1179,0.1083,2118.6
round2,2,0,8,8,11785,11766,1.0,0.0371,459,0.039,0.0389,2926.5
round2,2,2,8,8,12076,11766,1.0,0.462,3545,0.3013,0.2936,2935.8
round2,2,3,8,8,20612,11766,1.0,0.4625,3508,0.2981,0.1702,3387.2
round2,2,6,8,8,13799,11766,1.0,0.7153,982,0.0835,0.0712,1824.9
round2,2,7,8,8,12179,11766,1.0,0.7,944,0.0802,0.0775,1878.2
round2,3,0,8,8,11794,11766,1.0,0.0557,1889,0.1605,0.1602,6454.9
round2,3,2,8,8,13244,11766,1.0,0.4397,1591,0.1352,0.1201,2358.5
round2,3,3,8,8,16232,11766,1.0,0.5754,2420,0.2057,0.1491,2166.4
round2,3,4,8,8,12085,11766,1.0,0.6416,3026,0.2572,0.2504,2300.7
round2,3,6,8,8,21109,11766,1.0,0.7169,2038,0.1732,0.0965,1665.1
round2,3,7,8,8,11892,11766,1.0,0.7147,2500,0.2125,0.2102,1862.6
round2,4,0,8,8,11945,11766,1.0,0.0742,2185,0.1857,0.1829,8580.9
round2,4,1,8,8,11970,11766,1.0,0.3108,4977,0.423,0.4158,7910.6
round2,4,2,8,8,15042,11766,1.0,0.3523,2979,0.2532,0.198,2555.8
round2,4,3,8,8,13245,11766,1.0,0.6182,2517,0.2139,0.19,2664.4
round2,4,4,8,8,13870,11766,1.0,0.6187,2239,0.1903,0.1614,2245.8
round2,4,6,8,8,11802,11766,1.0,0.7488,2228,0.1894,0.1888,2219.8
round2,5,0,8,8,12017,11766,1.0,0.1799,1161,0.0987,0.0966,1836.1
round2,5,1,8,8,12237,11766,1.0,0.3755,1407,0.1196,0.115,1835.7
round2,5,2,8,8,12457,11766,1.0,0.5551,1919,0.1631,0.154,2362.7
round2,5,3,8,8,14892,11766,1.0,0.5727,2687,0.2284,0.1804,2496.1
round2,5,4,8,8,16381,11766,1.0,0.5859,2588,0.22,0.158,1895.7
round2,5,5,8,8,11891,11766,1.0,0.6149,3352,0.2849,0.2819,2551.4
round2,6,0,8,8,11963,11766,1.0,0.1987,3774,0.3208,0.3155,2600.1
round2,6,1,8,8,12637,11766,1.0,0.2146,3733,0.3173,0.2954,3270.0
round2,6,2,8,8,13609,11766,1.0,0.3881,2004,0.1703,0.1473,2405.1
round2,6,3,8,8,12901,11766,1.0,0.5534,3632,0.3087,0.2815,3553.9
round2,6,4,8,8,12862,11766,1.0,0.5715,2073,0.1762,0.1612,2518.2
round2,6,5,8,8,13402,11766,1.0,0.5157,3060,0.2601,0.2283,3427.7
round2,6,6,8,8,12031,11766,1.0,0.5159,1635,0.139,0.1359,3387.2
round2,6,7,8,8,11878,11766,1.0,0.5112,2142,0.182,0.1803,2167.1
round2,7,2,8,8,11892,11766,1.0,0.4129,3335,0.2834,0.2804,3198.1
round2,7,3,8,8,12426,11766,1.0,0.4237,1413,0.1201,0.1137,2332.1
round2,7,4,8,8,12231,11766,1.0,0.4583,1660,0.1411,0.1357,2416.6
round2,7,5,8,8,12108,11766,1.0,0.4755,888,0.0755,0.0733,2409.8
round2,7,6,8,8,11991,11766,1.0,0.4911,538,0.0457,0.0449,2080.4
round2,7,7,8,8,11909,11766,1.0,0.5028,1941,0.165,0.163,1593.6
bonus1,0,0,10,10,4294,4252,1.0,0.0,4069,0.957,0.9476,143863.8
bonus1,0,2,10,10,4337,4252,1.0,0.3821,1339,0.3149,0.3087,3389.6
