level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms,cohort
tutorial,0,0,6,6,337,328,1.0,0.0,310,0.9451,0.9199,11171.6,top_solver
tutorial,0,1,6,6,332,328,1.0,0.4576,42,0.128,0.1265,2552.4,top_solver
tutorial,0,2,6,6,328,328,1.0,0.4609,24,0.0732,0.0732,2253.6,top_solver
tutorial,0,3,6,6,328,328,1.0,0.4865,40,0.122,0.122,3179.7,top_solver
tutorial,0,4,6,6,332,328,1.0,0.4833,40,0.122,0.1205,2199.5,top_solver
tutorial,0,5,6,6,328,328,1.0,0.4968,34,0.1037,0.1037,2645.0,top_solver
tutorial,1,0,6,6,334,328,1.0,0.0909,57,0.1738,0.1707,3794.3,top_solver
tutorial,1,1,6,6,336,328,1.0,0.5105,16,0.0488,0.0476,4269.5,top_solver
tutorial,1,2,6,6,328,328,1.0,0.729,15,0.0457,0.0457,1842.7,top_solver
tutorial,1,3,6,6,330,328,1.0,0.7264,11,0.0335,0.0333,3262.7,top_solver
tutorial,1,4,6,6,331,328,1.0,0.7647,29,0.0884,0.0876,2222.1,top_solver
tutorial,1,5,6,6,331,328,1.0,0.4929,22,0.0671,0.0665,1867.3,top_solver
tutorial,2,0,6,6,330,328,1.0,0.1427,16,0.0488,0.0485,1667.0,top_solver
tutorial,2,1,6,6,332,328,1.0,0.5657,11,0.0335,0.0331,2490.6,top_solver
tutorial,2,4,6,6,331,328,1.0,0.7942,9,0.0274,0.0272,2761.7,top_solver
tutorial,2,5,6,6,329,328,1.0,0.5428,19,0.0579,0.0578,2624.8,top_solver
tutorial,3,0,6,6,331,328,1.0,0.1776,18,0.0549,0.0544,1972.4,top_solver
tutorial,3,1,6,6,332,328,1.0,0.5716,8,0.0244,0.0241,1805.6,top_solver
tutorial,3,4,6,6,329,328,1.0,0.8074,27,0.0823,0.0821,7201.0,top_solver
tutorial,3,5,6,6,330,328,1.0,0.5376,18,0.0549,0.0545,1584.8,top_solver
tutorial,4,0,6,6,333,328,1.0,0.2081,31,0.0945,0.0931,2617.2,top_solver
tutorial,4,1,6,6,335,328,1.0,0.5759,15,0.0457,0.0448,1751.1,top_solver
tutorial,4,2,6,6,329,328,1.0,0.7744,8,0.0244,0.0243,2446.0,top_solver
tutorial,4,3,6,6,329,328,1.0,0.7967,18,0.0549,0.0547,2088.3,top_solver
tutorial,4,4,6,6,332,328,1.0,0.7683,16,0.0488,0.0482,1768.6,top_solver
tutorial,4,5,6,6,331,328,1.0,0.5235,9,0.0274,0.0272,1575.9,top_solver
tutorial,5,0,6,6,331,328,1.0,0.2391,72,0.2195,0.2175,2484.8,top_solver
tutorial,5,1,6,6,333,328,1.0,0.2634,47,0.1433,0.1411,4715.0,top_solver
tutorial,5,2,6,6,329,328,1.0,0.4806,7,0.0213,0.0213,1469.3,top_solver
tutorial,5,3,6,6,329,328,1.0,0.4894,6,0.0183,0.0182,2124.8,top_solver
tutorial,5,4,6,6,330,328,1.0,0.5069,13,0.0396,0.0394,1393.5,top_solver
tutorial,5,5,6,6,328,328,1.0,0.5164,26,0.0793,0.0793,1726.4,top_solver
round1,0,0,6,6,328,328,1.0,0.0,321,0.9787,0.9787,50497.0,top_solver
round1,0,1,6,6,328,328,1.0,0.402,38,0.1159,0.1159,3490.1,top_solver
round1,1,0,6,6,328,328,1.0,0.1328,96,0.2927,0.2927,10963.1,top_solver
round1,1,1,6,6,335,328,1.0,0.4117,54,0.1646,0.1612,3844.5,top_solver
round1,1,3,6,6,328,328,1.0,0.6139,61,0.186,0.186,2751.9,top_solver
round1,1,4,6,6,329,328,1.0,0.6,39,0.1189,0.1185,2902.1,top_solver
round1,1,5,6,6,328,328,1.0,0.5867,27,0.0823,0.0823,1663.3,top_solver
round1,2,0,6,6,335,328,1.0,0.1698,70,0.2134,0.209,8051.2,top_solver
round1,2,1,6,6,332,328,1.0,0.672,46,0.1402,0.1386,4238.6,top_solver
round1,2,2,6,6,548,328,1.0,0.6382,107,0.3262,0.1953,2756.6,top_solver
round1,2,3,6,6,329,328,1.0,0.6273,84,0.2561,0.2553,2875.7,top_solver
