trace_id,user_id,level,platform,created_at,points,moves,unique_cells,revisits,duration_ms,duration_s,ms_per_move,median_dt_ms,thinking_moves,thinking_frac,thinking_ms,execution_ms,thinking_time_frac,longest_pause_ms,bbox_w,bbox_h,pattern,pattern_conf,age,style,gaming,hand,optimization,optimal_moves,optimality,redundancy
234,1jxmihh176,tutorial,desktop,2026-06-17 21:21:00.402134+00,32,31,32,0,6711,6.711,216.5,180,1,0.0323,1067,5644,0.159,1067,6,6,spiral,1.0,,,,,,31,1.0,1.0
235,1jxmihh176,round1,desktop,2026-06-17 21:21:16.849839+00,28,27,25,3,6315,6.315,233.9,200,1,0.037,1096,5219,0.1736,1096,6,6,spiral,0.9983,,,,,,25,0.9259,1.08
236,1jxmihh176,round2,desktop,2026-06-17 21:21:32.214208+00,61,60,49,12,12781,12.781,213.0,181,1,0.0167,1218,11563,0.0953,1218,8,8,spiral,0.8691,,,,,,48,0.8,1.25
237,1jxmihh176,bonus1,desktop,2026-06-17 21:22:07.360821+00,103,102,84,19,22343,22.343,219.0,196,0,0.0,0,22343,0.0,764,10,10,spiral,0.9999,,,,,,86,0.8431,1.186
238,1jxmihh176,bonus2,desktop,2026-06-17 21:22:42.641532+00,133,132,121,12,32932,32.932,249.5,207,2,0.0152,2430,30502,0.0738,1371,12,12,spiral,0.9989,,,,,,120,0.9091,1.1
239,1jxmihh176,bonus3,desktop,2026-06-17 21:23:38.521662+00,194,193,176,18,52930,52.93,274.2,226,2,0.0104,3337,49593,0.063,1782,14,14,snake,0.8509,,,,,,176,0.9119,1.0966
240,g1lkiqebew,tutorial,desktop,2026-06-17 23:00:45.921974+00,32,31,32,0,6463,6.463,208.5,180,1,0.0323,1178,5285,0.1823,1178,6,6,spiral,1.0,30-44,I just start and figure it out,Rarely or never,Left,Sometimes,31,1.0,1.0
241,g1lkiqebew,round1,desktop,2026-06-17 23:01:00.181188+00,28,27,25,3,7711,7.711,285.6,226,1,0.037,1010,6701,0.131,1010,6,6,spiral,0.9994,30-44,I just start and figure it out,Rarely or never,Left,Sometimes,25,0.9259,1.08
242,g1lkiqebew,round2,desktop,2026-06-17 23:01:23.103045+00,63,62,49,14,19195,19.195,309.6,203,2,0.0323,5561,13634,0.2897,3671,8,8,spiral,0.9955,30-44,I just start and figure it out,Rarely or never,Left,Sometimes,48,0.7742,1.2917
243,zg3urcsuue,tutorial,desktop,2026-06-17 23:13:25.227315+00,34,33,32,2,8410,8.41,254.8,203,0,0.0,0,8410,0.0,866,6,6,spiral,0.9999,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,31,0.9394,1.0645
244,zg3urcsuue,round1,desktop,2026-06-17 23:13:38.58117+00,33,32,25,8,9701,9.701,303.2,219,1,0.0312,1200,8501,0.1237,1200,6,6,spiral,0.9999,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,25,0.7812,1.28
245,zg3urcsuue,round2,desktop,2026-06-17 23:13:58.19271+00,62,61,49,13,16493,16.493,270.4,224,1,0.0164,1878,14615,0.1139,1878,8,8,random_walk,0.6347,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,48,0.7869,1.2708
246,zg3urcsuue,bonus1,desktop,2026-06-17 23:15:01.138255+00,93,92,84,9,32684,32.684,355.3,257,5,0.0543,6316,26368,0.1932,1594,10,10,random_walk,0.9837,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,86,0.9348,1.0698
247,zg3urcsuue,bonus2,desktop,2026-06-17 23:15:41.247241+00,145,144,121,24,37626,37.626,261.3,217,2,0.0139,2114,35512,0.0562,1089,12,12,random_walk,0.8064,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,120,0.8333,1.2
248,zg3urcsuue,bonus3,desktop,2026-06-17 23:16:33.701751+00,185,184,176,9,49305,49.305,268.0,221,1,0.0054,3936,45369,0.0798,3936,14,14,snake,1.0,30-44,I have a rough approach but adapt as I go,Sometimes,Right,Sometimes,176,0.9565,1.0455
252,wc00m5y1pi,tutorial,desktop,2026-06-18 14:46:23.580399+00,32,31,32,0,6172,6.172,199.1,158,0,0.0,0,6172,0.0,931,6,6,spiral,1.0,,,,,,31,1.0,1.0
253,y02wizg975,tutorial,desktop,2026-06-18 14:50:21.339595+00,32,31,32,0,13578,13.578,438.0,280,1,0.0323,3424,10154,0.2522,3424,6,6,spiral,0.9999,,,,,,31,1.0,1.0
254,y02wizg975,round1,desktop,2026-06-18 14:50:41.055491+00,28,27,25,3,17088,17.088,632.9,274,3,0.1111,9298,7790,0.5441,4242,6,6,spiral,0.9949,,,,,,25,0.9259,1.08
